type,mfg,mpn,time (s),current (a),band,source,notes
FLA - Code L,NEMA MG-1,Code L LRA,100,10,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code L upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code L,NEMA MG-1,Code L LRA,1,10,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code L upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code L,NEMA MG-1,Code L LRA,0.01,10,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code L upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code L,NEMA MG-1,Code L LRA,0.001,10,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code L upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code M,NEMA MG-1,Code M LRA,10000,10,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code M lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code M,NEMA MG-1,Code M LRA,100,10,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code M lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code M,NEMA MG-1,Code M LRA,1,10,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code M lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code M,NEMA MG-1,Code M LRA,0.01,10,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code M lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code M,NEMA MG-1,Code M LRA,0.001,10,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code M lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code M,NEMA MG-1,Code M LRA,10000,11.2,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code M upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code M,NEMA MG-1,Code M LRA,100,11.2,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code M upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code M,NEMA MG-1,Code M LRA,1,11.2,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code M upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code M,NEMA MG-1,Code M LRA,0.01,11.2,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code M upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code M,NEMA MG-1,Code M LRA,0.001,11.2,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code M upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code N,NEMA MG-1,Code N LRA,10000,11.2,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code N lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code N,NEMA MG-1,Code N LRA,100,11.2,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code N lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code N,NEMA MG-1,Code N LRA,1,11.2,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code N lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code N,NEMA MG-1,Code N LRA,0.01,11.2,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code N lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code N,NEMA MG-1,Code N LRA,0.001,11.2,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code N lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code N,NEMA MG-1,Code N LRA,10000,12.5,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code N upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code N,NEMA MG-1,Code N LRA,100,12.5,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code N upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code N,NEMA MG-1,Code N LRA,1,12.5,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code N upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code N,NEMA MG-1,Code N LRA,0.01,12.5,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code N upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code N,NEMA MG-1,Code N LRA,0.001,12.5,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code N upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code P,NEMA MG-1,Code P LRA,10000,12.5,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code P lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code P,NEMA MG-1,Code P LRA,100,12.5,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code P lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code P,NEMA MG-1,Code P LRA,1,12.5,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code P lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code P,NEMA MG-1,Code P LRA,0.01,12.5,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code P lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code P,NEMA MG-1,Code P LRA,0.001,12.5,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code P lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code P,NEMA MG-1,Code P LRA,10000,14,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code P upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code P,NEMA MG-1,Code P LRA,100,14,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code P upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code P,NEMA MG-1,Code P LRA,1,14,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code P upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code P,NEMA MG-1,Code P LRA,0.01,14,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code P upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code P,NEMA MG-1,Code P LRA,0.001,14,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code P upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code R,NEMA MG-1,Code R LRA,10000,14,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code R lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code R,NEMA MG-1,Code R LRA,100,14,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code R lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code R,NEMA MG-1,Code R LRA,1,14,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code R lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code R,NEMA MG-1,Code R LRA,0.01,14,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code R lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code R,NEMA MG-1,Code R LRA,0.001,14,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code R lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code R,NEMA MG-1,Code R LRA,10000,16,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code R upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code R,NEMA MG-1,Code R LRA,100,16,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code R upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code R,NEMA MG-1,Code R LRA,1,16,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code R upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code R,NEMA MG-1,Code R LRA,0.01,16,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code R upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code R,NEMA MG-1,Code R LRA,0.001,16,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code R upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code S,NEMA MG-1,Code S LRA,10000,16,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code S lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code S,NEMA MG-1,Code S LRA,100,16,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code S lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code S,NEMA MG-1,Code S LRA,1,16,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code S lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code S,NEMA MG-1,Code S LRA,0.01,16,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code S lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code S,NEMA MG-1,Code S LRA,0.001,16,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code S lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code S,NEMA MG-1,Code S LRA,10000,18,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code S upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code S,NEMA MG-1,Code S LRA,100,18,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code S upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code S,NEMA MG-1,Code S LRA,1,18,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code S upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code S,NEMA MG-1,Code S LRA,0.01,18,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code S upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code S,NEMA MG-1,Code S LRA,0.001,18,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code S upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code T,NEMA MG-1,Code T LRA,10000,18,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code T lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code T,NEMA MG-1,Code T LRA,100,18,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code T lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code T,NEMA MG-1,Code T LRA,1,18,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code T lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code T,NEMA MG-1,Code T LRA,0.01,18,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code T lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code T,NEMA MG-1,Code T LRA,0.001,18,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code T lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code T,NEMA MG-1,Code T LRA,10000,20,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code T upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code T,NEMA MG-1,Code T LRA,100,20,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code T upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code T,NEMA MG-1,Code T LRA,1,20,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code T upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code T,NEMA MG-1,Code T LRA,0.01,20,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code T upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code T,NEMA MG-1,Code T LRA,0.001,20,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code T upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code U,NEMA MG-1,Code U LRA,10000,20,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code U lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code U,NEMA MG-1,Code U LRA,100,20,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code U lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code U,NEMA MG-1,Code U LRA,1,20,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code U lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code U,NEMA MG-1,Code U LRA,0.01,20,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code U lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code U,NEMA MG-1,Code U LRA,0.001,20,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code U lower bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code U,NEMA MG-1,Code U LRA,10000,22.4,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code U upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code U,NEMA MG-1,Code U LRA,100,22.4,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code U upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code U,NEMA MG-1,Code U LRA,1,22.4,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code U upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code U,NEMA MG-1,Code U LRA,0.01,22.4,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code U upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code U,NEMA MG-1,Code U LRA,0.001,22.4,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code U upper bound,APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF
FLA - Code V,NEMA MG-1,Code V LRA,10000,22.4,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code V lower bound,"APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF; Code V is open-ended above (>=22.4), upper bound drawn at 22.4"
FLA - Code V,NEMA MG-1,Code V LRA,100,22.4,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code V lower bound,"APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF; Code V is open-ended above (>=22.4), upper bound drawn at 22.4"
FLA - Code V,NEMA MG-1,Code V LRA,1,22.4,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code V lower bound,"APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF; Code V is open-ended above (>=22.4), upper bound drawn at 22.4"
FLA - Code V,NEMA MG-1,Code V LRA,0.01,22.4,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code V lower bound,"APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF; Code V is open-ended above (>=22.4), upper bound drawn at 22.4"
FLA - Code V,NEMA MG-1,Code V LRA,0.001,22.4,min,NEMA MG-1 locked-rotor kVA/hp code letter table - Code V lower bound,"APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF; Code V is open-ended above (>=22.4), upper bound drawn at 22.4"
FLA - Code V,NEMA MG-1,Code V LRA,10000,22.4,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code V upper bound,"APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF; Code V is open-ended above (>=22.4), upper bound drawn at 22.4"
FLA - Code V,NEMA MG-1,Code V LRA,100,22.4,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code V upper bound,"APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF; Code V is open-ended above (>=22.4), upper bound drawn at 22.4"
FLA - Code V,NEMA MG-1,Code V LRA,1,22.4,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code V upper bound,"APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF; Code V is open-ended above (>=22.4), upper bound drawn at 22.4"
FLA - Code V,NEMA MG-1,Code V LRA,0.01,22.4,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code V upper bound,"APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF; Code V is open-ended above (>=22.4), upper bound drawn at 22.4"
FLA - Code V,NEMA MG-1,Code V LRA,0.001,22.4,max,NEMA MG-1 locked-rotor kVA/hp code letter table - Code V upper bound,"APPROXIMATION - kVA/hp treated as per-unit LRA (assumes full-load kVA/hp ~ 1.0); actual multiple depends on efficiency x PF; Code V is open-ended above (>=22.4), upper bound drawn at 22.4"
